court,casenum,file_date,top_ct_desc,top_ct_statute,n_ct,ojo_burg_cat
OKLAHOMA,CF-2019-03872,9/16/19,BURGLARY- 3RD DEGREE,21.1435.B,2,THIRD DEGREE
OKLAHOMA,CF-2019-03873,9/16/19,BURGLARY - FIRST DEGREE,21.1431,1,FIRST DEGREE
OKLAHOMA,CF-2019-03874,9/16/19,BURGLARY- 3RD DEGREE,21.1435.B,9,THIRD DEGREE
OKLAHOMA,CF-2019-03880,9/17/19,BURGLARY- 3RD DEGREE,21.1435.B,1,THIRD DEGREE
OKLAHOMA,CF-2019-03901,9/18/19,BURGLARY - SECOND DEGREE,21.1435,4,SECOND DEGREE
OKLAHOMA,CF-2019-03904,9/18/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-03908,9/18/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-03912,9/19/19,BURGLARY IN THE SECOND DEGREE,21.1431.1442,1,FIRST DEGREE
OKLAHOMA,CF-2019-03913,9/19/19,BURGLARY- 3RD DEGREE,21.1435.B,1,THIRD DEGREE
OKLAHOMA,CF-2019-03914,9/19/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-03931,9/19/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-03941,9/19/19,BURGLARY - FIRST DEGREE,21.1431,2,FIRST DEGREE
OKLAHOMA,CF-2019-03966,9/20/19,BURGLARY- 3RD DEGREE,21.1435.B,2,THIRD DEGREE
OKLAHOMA,CF-2019-03977,9/23/19,BURGLARY- 3RD DEGREE,21.1435.B,2,THIRD DEGREE
OKLAHOMA,CF-2019-03980,9/23/19,BURGLARY - SECOND DEGREE,21.1435,2,SECOND DEGREE
OKLAHOMA,CF-2019-03993,9/23/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-04008,9/23/19,BURGLARY - SECOND DEGREE,21.1435,2,SECOND DEGREE
OKLAHOMA,CF-2019-04008,9/23/19,BURGLARY - SECOND DEGREE,21.1435,3,SECOND DEGREE
OKLAHOMA,CF-2019-04009,9/23/19,BURGLARY- 3RD DEGREE,21.1435.B,2,THIRD DEGREE
OKLAHOMA,CF-2019-04011,9/24/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-04011,9/24/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-04024,9/24/19,BURGLARY- 3RD DEGREE,21.1435.B,2,THIRD DEGREE
OKLAHOMA,CF-2019-04029,9/25/19,BURGLARY- 3RD DEGREE,21.1435.B,1,THIRD DEGREE
OKLAHOMA,CF-2019-04039,9/25/19,BURGLARY - SECOND DEGREE,21.1435,2,SECOND DEGREE
OKLAHOMA,CF-2019-04069,9/26/19,BURGLARY- 3RD DEGREE,21.1435.B,1,THIRD DEGREE
OKLAHOMA,CF-2019-04070,9/26/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-04090,9/27/19,BURGLARY- 3RD DEGREE,21.1435.B,3,THIRD DEGREE
OKLAHOMA,CF-2019-04098,9/30/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-04098,9/30/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-04118,9/30/19,BURGLARY - FIRST DEGREE,21.1431,3,FIRST DEGREE
OKLAHOMA,CF-2019-04132,10/2/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-04137,10/2/19,BURGLARY - SECOND DEGREE,21.1435,2,SECOND DEGREE
OKLAHOMA,CF-2019-04140,10/3/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-04142,10/3/19,BURGLARY- 3RD DEGREE,21.1435.B,5,THIRD DEGREE
OKLAHOMA,CF-2019-04166,10/4/19,BURGLARY - SECOND DEGREE,21.1435,2,SECOND DEGREE
OKLAHOMA,CF-2019-04167,10/4/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-04168,10/4/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-04168,10/4/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
OKLAHOMA,CF-2019-04168,10/4/19,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
